date,level
1997-01-01,11.2792286203143
1997-02-01,11.3225983015225
1997-03-01,11.2667825955457
1997-04-01,11.2295448924071
1997-05-01,11.220226713323
1997-06-01,11.2457746767688
1997-07-01,11.2707647632605
1997-08-01,11.2893124213272
1997-09-01,11.283906383562
1997-10-01,11.2662293870179
1997-11-01,11.2444558463123
1997-12-01,11.2636150682368
1998-01-01,11.3344164229411
1998-02-01,11.3739369865867
1998-03-01,11.3596492676052
1998-04-01,11.3609307506506
1998-05-01,11.3527259912617
1998-06-01,11.3743991607998
1998-07-01,11.4099492277966
1998-08-01,11.4122530962224
1998-09-01,11.4087237658679
1998-10-01,11.3669856996847
1998-11-01,11.3399951924829
1998-12-01,11.338459280199
1999-01-01,11.3919104282069
1999-02-01,11.373610196739
1999-03-01,11.2882153411244
1999-04-01,11.2771605074214
1999-05-01,11.2216365780943
1999-06-01,11.2209549878406
1999-07-01,11.2418111827596
1999-08-01,11.1994942317035
1999-09-01,11.1771814877493
1999-10-01,11.1754331620644
1999-11-01,11.1401095137478
1999-12-01,11.1331815689778
2000-01-01,11.2272830398188
2000-02-01,11.2277428798187
2000-03-01,11.1684211856194
2000-04-01,11.1558631186172
2000-05-01,11.1125004400487
2000-06-01,11.0919546954849
2000-07-01,11.1401281874534
2000-08-01,11.1161604863422
2000-09-01,11.0990903852294
2000-10-01,11.1189802158847
2000-11-01,11.0643222796538
2000-12-01,11.0519532839206
2001-01-01,11.0608419677764
2001-02-01,11.0356464705234
2001-03-01,11.0566730630058
2001-04-01,11.1305812554759
2001-05-01,11.1377846374032
2001-06-01,11.0574503560006
2001-07-01,11.0212840567197
2001-08-01,10.9818661984548
2001-09-01,10.9735517310455
2001-10-01,10.9251401493309
2001-11-01,10.8893099767504
2001-12-01,10.8810305225392
2002-01-01,11.1304902211612
2002-02-01,11.4800409816889
2002-03-01,11.9341318144764
2002-04-01,13.1739258121569
2002-05-01,13.7022983115261
2002-06-01,14.1985987215626
2002-07-01,14.6513427133352
2002-08-01,14.9944720533568
2002-09-01,15.1970117324973
2002-10-01,15.2302275862967
2002-11-01,15.3077701487152
2002-12-01,15.3364342867795
2003-01-01,15.5387638867324
2003-02-01,15.6267170400114
2003-03-01,15.7179380917667
2003-04-01,15.7266213648612
2003-05-01,15.6663052958397
2003-06-01,15.6528835699545
2003-07-01,15.7223964389738
2003-08-01,15.7262245486176
2003-09-01,15.7324568978547
2003-10-01,15.8251951881884
2003-11-01,15.8642232328494
2003-12-01,15.8979059292882
2004-01-01,15.9647344531305
2004-02-01,15.9807938399288
2004-03-01,16.0756095800082
2004-04-01,16.2135382378441
2004-05-01,16.3319995576134
2004-06-01,16.4244344002315
2004-07-01,16.500132934224
2004-08-01,16.5568076306574
2004-09-01,16.6610069077905
2004-10-01,16.7269484306178
2004-11-01,16.7273219047294
2004-12-01,16.8671646173871
2005-01-01,17.1177890883947
2005-02-01,17.2797134579001
2005-03-01,17.5468174740815
2005-04-01,17.6328565725386
2005-05-01,17.7387831674377
2005-06-01,17.9012444059785
2005-07-01,18.0810021643122
2005-08-01,18.1599919389131
2005-09-01,18.3711915490162
2005-10-01,18.5147456606578
2005-11-01,18.7381065215194
2005-12-01,18.9467151549733
2006-01-01,19.1884462736987
2006-02-01,19.2644949396708
2006-03-01,19.4967024685507
2006-04-01,19.6863106065775
2006-05-01,19.7784420014799
2006-06-01,19.8742147689703
2006-07-01,19.996854330363
2006-08-01,20.1093400643469
2006-09-01,20.2901949028834
2006-10-01,20.4638603647719
2006-11-01,20.6086749515402
2006-12-01,20.8108878408331
2007-01-01,21.0521200448297
2007-02-01,21.2695572299679
2007-03-01,21.4820049219135
2007-04-01,21.907478804377
2007-05-01,22.262023954208
2007-06-01,22.6398465964509
2007-07-01,23.1358784200155
2007-08-01,23.8284668121343
2007-09-01,24.2997506843532
2007-10-01,24.8100686182963
2007-11-01,24.9656721657401
2007-12-01,25.2029131836711
2008-01-01,25.4976518728837
2008-02-01,26.0407411112042
2008-03-01,26.9330594850713
2008-04-01,27.6354873870404
2008-05-01,28.0133825316853
2008-06-01,28.5133838848698
2008-07-01,28.9016058378417
2008-08-01,29.3008472681606
2008-09-01,29.701035978768
2008-10-01,29.9204098278382
2008-11-01,30.1255380406364
2008-12-01,30.3456805638017
2009-01-01,30.5038344854513
2009-02-01,30.7338287540649
2009-03-01,31.2462651013007
2009-04-01,31.5841982990835
2009-05-01,31.7892409554173
2009-06-01,32.0030523685153
2009-07-01,32.3679714716779
2009-08-01,32.8340660495925
2009-09-01,33.210823554865
2009-10-01,33.7452555994498
2009-11-01,34.1267655421898
2009-12-01,34.8570665564159
2010-01-01,35.5247440063036
2010-02-01,36.4602118434937
2010-03-01,37.3590469929518
2010-04-01,38.04853615959
2010-05-01,38.5786796659247
2010-06-01,39.0673194376002
2010-07-01,39.6387330584751
2010-08-01,40.1004725113389
2010-09-01,40.4958608422833
2010-10-01,41.3256916432318
2010-11-01,42.1703561515119
2010-12-01,42.9253388171019
2011-01-01,43.6513318916406
2011-02-01,44.1938063159906
2011-03-01,45.2493363143369
2011-04-01,46.2926972358259
2011-05-01,47.1353642637367
2011-06-01,47.8461087270683
2011-07-01,48.9235130306667
2011-08-01,49.8021321149792
